Date,Open,High,Low,Close,Volume,VXN_open,VXN_high,VXN_low,VXD_close,Month,Day of the month,day of the week(Sunday=1),ma10,wma10,ema10,BB_UpperBand,BB_LowerBand,dc_high,dc_low,dc_medium,momentum,rate_of_change,midpoint,awsome_ossilator,macd,macd_signal,macd_histogram,rs,RSI,diff,high_prev_close,low_prev_close,true_range,atr,%r,PCT,HV,Standard Deviation
1/23/2001,2642.330078,2738.810059,2618.719971,2730.050049,2278470000,65.989998,66.099998,58.419998,58.57,1,23,2,2548.425977,2608.538708,2577.536362,2763.804633,2162.019366,2740.76001,2237.449951,2489.104981,448.51001,19.65821341,2678.765015,103.3436036,12.61609442,-41.58121183,54.19730625,1.465193916,59.43523982,120.090088,95.680176,24.409912,120.090088,153.6799666,-1.639012297,0.032885318,0.011925022,150.4463169
1/24/2001,2732.919922,2771.629883,2692.810059,2726.449951,2567320000,60,61.450001,59.830002,60.66,1,24,3,2589.930982,2640.906703,2604.61156,2800.100808,2154.742186,2771.629883,2237.449951,2504.539917,415.050049,17.95665253,2732.219971,127.4621856,24.89943753,-28.28508196,53.18451949,2.760983259,73.41120842,78.819824,41.579834,37.23999,78.819824,127.6520996,-7.28156625,-0.001318693,0.007107736,161.3396555
1/25/2001,2687.050049,2710.219971,2595.469971,2595.850098,2298150000,62.16,63.790001,61.790001,63.48,1,25,4,2608.144995,2641.982906,2603.018567,2811.904312,2162.063681,2771.629883,2376.860107,2574.244995,182.140137,7.546065598,2652.844971,140.1458384,23.82116323,-17.86383292,41.68499615,1.574049518,61.15070852,114.75,16.22998,130.97998,130.97998,128.7935268,-28.3301035,-0.047901064,0.005362448,162.4601576
1/26/2001,2538.280029,2635.219971,2526.550049,2631.780029,2268800000,65.93,66.080002,62.459999,62.459999,1,26,5,2618.893994,2646.280185,2608.247923,2826.510097,2164.614903,2771.629883,2432.870117,2602.25,107.48999,4.258226604,2580.88501,125.5201419,25.57110051,-9.176846232,34.74794674,1.304511078,56.60684779,108.669922,39.369873,69.300049,108.669922,121.4756731,-22.53934284,0.013841297,0.00489819,165.4737984
1/29/2001,2601.669922,2696.72998,2578.840088,2694.530029,1970130000,63.740002,64.080002,62.009998,62.400002,1,29,1,2637.741992,2660.032191,2623.935579,2849.260675,2164.855317,2771.629883,2432.870117,2602.25,188.47998,7.520998237,2637.785034,126.8676257,31.65642344,-1.010192299,32.66661573,2.287395219,69.58077951,117.889892,64.949951,52.939941,117.889892,120.4828055,-14.43331158,0.023843178,0.006000719,171.1013395
1/30/2001,2701.340088,2716.409912,2661.73999,2686.139893,2073590000,64.190002,64.190002,62.400002,62.5,1,30,2,2659.283985,2668.831809,2635.245454,2866.111838,2182.448148,2771.629883,2526.550049,2649.089966,215.419922,8.718912889,2689.074951,133.9274085,35.39407102,6.270660366,29.12341066,2.919900444,74.48914802,54.669922,21.879883,32.790039,54.669922,117.9356689,-16.00396886,-0.003113766,0.008338725,170.9159225
1/31/2001,2695.030029,2718.51001,2591.919922,2593,2277310000,63.919998,64.139999,59.959999,61.450001,1,31,3,2662.716992,2656.780176,2627.564463,2834.970055,2260.011927,2771.629883,2526.550049,2649.089966,34.330078,1.341715776,2655.214966,126.3096465,30.48911319,11.11435093,19.37476226,2.676687175,72.8016023,126.590088,32.370117,94.219971,126.590088,114.1221051,-45.24912844,-0.034674253,0.011151281,143.7395319
2/1/2001,2586.23999,2627.389893,2554.939941,2607.159912,1776260000,62.509998,63.66,60.419998,60.490002,2,1,4,2656.385986,2646.678889,2623.854544,2839.963431,2262.896555,2771.629883,2526.550049,2649.089966,-63.310059,-2.370745962,2591.164917,123.3579023,27.42830885,14.37714251,13.05116634,1.540210408,60.63318232,72.449952,34.389893,38.060059,72.449952,106.902117,-48.55062127,0.005460822,0.002038668,144.2667191
2/2/2001,2605.639893,2616.399902,2471.51001,2472.179932,1706900000,61.959999,63.82,61.959999,63.75,2,2,5,2638.026978,2613.186879,2596.277342,2839.810992,2264.262983,2771.629883,2471.51001,2621.569947,-183.590088,-6.912875988,2543.954956,124.7193926,13.95003572,14.29172115,-0.341685434,1.261716263,55.78578903,144.889892,9.23999,135.649902,144.889892,108.6449671,-88.39596111,-0.051772804,0.000801483,143.8870021
2/5/2001,2447.719971,2483.580078,2409.199951,2467.300049,1648760000,64.589996,64.589996,62.860001,62.93,2,5,1,2620.443994,2582.145619,2572.826925,2820.667994,2303.350976,2771.629883,2409.199951,2590.414917,-175.829834,-6.652334232,2446.390015,94.29539072,2.841881939,12.00175331,-9.159871372,0.921846631,47.9667116,74.380127,11.400146,62.979981,74.380127,108.424264,-83.96928817,-0.001973919,0.004609023,129.3292544
